member_casual,start_station_name,month,no_of_trips
casual,Wabash Ave & Grand Ave,June,1855
member,Clark St & Armitage Ave,August,1845
member,Loomis St & Lexington St,July,1836
member,Loomis St & Lexington St,June,1832
member,Dearborn St & Erie St,June,1831
member,Clinton St & Washington Blvd,May,1829
member,Clark St & Wrightwood Ave,September,1826
casual,Adler Planetarium,August,1824
member,Wells St & Concord Ln,October,1824
member,Clark St & Drummond Pl,August,1818
member,Theater on the Lake,May,1818
member,Sheffield Ave & Fullerton Ave,May,1817
casual,Broadway & Barry Ave,June,1816
member,Wells St & Hubbard St,June,1815
member,Wilton Ave & Belmont Ave,September,1814
member,Wells St & Hubbard St,July,1812
member,Wabash Ave & Grand Ave,July,1810
member,Clark St & Armitage Ave,May,1809
member,Wilton Ave & Belmont Ave,June,1808
member,Green St & Madison St,August,1805
casual,DuSable Lake Shore Dr & Diversey Pkwy,June,1802
casual,Wells St & Concord Ln,September,1797
member,Canal St & Adams St,September,1797
member,St. Clair St & Erie St,July,1794
member,Clinton St & Washington Blvd,October,1793
member,St. Clair St & Erie St,June,1793
member,Dearborn St & Erie St,August,1789
member,Green St & Madison St,July,1789
casual,Broadway & Barry Ave,August,1783
casual,Larrabee St & Webster Ave,July,1783
casual,McClurg Ct & Ohio St,July,1782
member,Dearborn St & Erie St,July,1774
member,Halsted St & Polk St,August,1774
member,St. Clair St & Erie St,September,1771
member,Michigan Ave & Oak St,May,1768
member,Dearborn St & Erie St,September,1767
member,DuSable Lake Shore Dr & North Blvd,September,1761
member,Clinton St & Madison St,May,1759
member,DuSable Lake Shore Dr & Diversey Pkwy,June,1759
member,Wells St & Huron St,July,1758
member,Dearborn St & Erie St,May,1756
casual,Clark St & Newport St,June,1754
casual,Adler Planetarium,June,1753
casual,Michigan Ave & Washington St,July,1748
member,Green St & Madison St,June,1747
casual,DuSable Lake Shore Dr & Wellington Ave,July,1746
member,Ashland Ave & Division St,June,1746
casual,Clark St & Armitage Ave,May,1745
casual,Wells St & Elm St,August,1745
casual,Wilton Ave & Belmont Ave,July,1739
member,Clark St & Drummond Pl,July,1737
member,Clark St & Drummond Pl,September,1732
casual,Michigan Ave & Oak St,October,1729
member,Wells St & Hubbard St,August,1729
member,Broadway & Cornelia Ave,July,1728
member,Lakeview Ave & Fullerton Pkwy,August,1727
casual,Lakeview Ave & Fullerton Pkwy,July,1725
member,Wabash Ave & Grand Ave,August,1723
casual,DuSable Lake Shore Dr & Monroe St,April,1722
casual,Clark St & Newport St,August,1720
casual,Larrabee St & Webster Ave,June,1719
casual,Buckingham Fountain,June,1717
member,Indiana Ave & Roosevelt Rd,June,1711
member,Ellis Ave & 60th St,April,1709
member,Larrabee St & Webster Ave,June,1709
casual,Michigan Ave & 8th St,June,1705
member,Sheffield Ave & Fullerton Ave,June,1701
member,Broadway & Waveland Ave,August,1697
casual,DuSable Lake Shore Dr & Diversey Pkwy,August,1694
member,Wells St & Huron St,May,1693
casual,Clark St & Lincoln Ave,May,1692
member,Pine Grove Ave & Waveland Ave,August,1691
member,Kingsbury St & Kinzie St,March,1688
member,Broadway & Cornelia Ave,June,1686
casual,Wilton Ave & Belmont Ave,June,1685
member,Broadway & Cornelia Ave,August,1683
